workerid,language,tournamentCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,correctAnswer,advancesCorrectFirstTime,advances,trialnum,response,rt,trainingCorrect
AVQGY7FCU80XP,english,any advances,royalblue,seafoam,pink,Player A will be pleased,none-none-none,none-none-none,none,yes,none,0,1,10104,NA
AVQGY7FCU80XP,english,any advances,yellow,grey,purple,Most of the players will advance,half-all-all,all-half-all,A-B-C,yes,A-B-C,3,4,23300,NA
AVQGY7FCU80XP,english,any advances,pink,lightblue,seafoam,Player B will advance,none-none-half,half-none-none,A,yes,A,2,1,6535,NA
AVQGY7FCU80XP,english,any advances,darkorange,pink,royalblue,Player C will advance,none-none-half,none-half-none,B,yes,B,5,1,5200,NA
AVQGY7FCU80XP,english,any advances,lavender,darkorange,pink,None of the players will advance,none-half-all,none-half-all,B-C,yes,B-C,4,1,7752,NA
AVQGY7FCU80XP,english,any advances,royalblue,seafoam,tan,Every player hit some of his shots,none-none-all,all-none-none,A,yes,A,7,1,5978,NA
AVQGY7FCU80XP,english,any advances,lightblue,grey,brown,Every player hit all of his shots,none-all-all,none-all-all,B-C,yes,B-C,6,1,8576,NA
AVQGY7FCU80XP,english,any advances,lavender,royalblue,brown,Player B will be pleased,all-all-all,all-all-all,A-B-C,yes,A-B-C,9,7,9195,NA
AVQGY7FCU80XP,english,any advances,lightblue,lavender,yellow,Exactly one player hit some of his shots,half-half-all,all-half-half,A-B-C,yes,A-B-C,8,1,9654,NA
AVQGY7FCU80XP,english,any advances,yellow,purple,lavender,Three players will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,11,7,8534,NA
AVQGY7FCU80XP,english,any advances,purple,yellow,tan,At least one player will advance,none-none-none,none-none-none,none,yes,none,10,1,4583,NA
AVQGY7FCU80XP,english,any advances,wheat,midnight,grey,Player B will be disappointed,none-all-all,none-all-all,B-C,yes,B-C,13,1,6214,NA
AVQGY7FCU80XP,english,any advances,wheat,yellow,midnight,Player C made shots,none-half-all,none-all-half,B-C,yes,B-C,12,5,12221,NA
AVQGY7FCU80XP,english,any advances,grey,lightorange,yellow,No player hit none of his shots,none-none-none,none-none-none,none,yes,none,15,1,10799,NA
AVQGY7FCU80XP,english,any advances,darkorange,pink,purple,All of the players will advance,none-half-half,half-none-half,A-C,yes,A-C,14,1,6052,NA
AVQGY7FCU80XP,english,any advances,brown,lightorange,midnight,No player hit all of his shots,none-all-all,all-none-all,A-C,yes,A-C,17,1,9380,NA
AVQGY7FCU80XP,english,any advances,royalblue,tan,purple,Exactly one player hit none of his shots,half-half-half,half-half-half,A-B-C,yes,A-B-C,16,1,9406,NA
AVQGY7FCU80XP,english,any advances,seafoam,yellow,darkorange,Every player hit none of his shots,none-half-half,half-half-none,A-B,yes,A-B,19,1,11686,NA
AVQGY7FCU80XP,english,any advances,purple,lightblue,yellow,Player C will be pleased,none-none-none,none-none-none,none,yes,none,18,1,4767,NA
AVQGY7FCU80XP,english,any advances,midnight,lightblue,seafoam,Player A was the star player of the round,most-none-all,most-none-all,A-C,yes,A-C,-1,1,14866,yes
AVQGY7FCU80XP,english,any advances,seafoam,royalblue,tan,Player C messed up,all-all-none,all-all-none,A-B,yes,A-B,-3,6,18767,yes
AVQGY7FCU80XP,english,any advances,lightorange,lightblue,seafoam,Player B will advance to the next round,all-few-none,all-few-none,A-B,yes,A-B,-2,7,13197,yes
