Sentence,Condition,LiteralListener,RSAListener,UncertaintyListener,HumanMean,HumanLowerCI,HumanUpperCI
no(player)(made(every(shot))),NNS,0.25,0.27632571981495657,0.34127960776322991,6.1111111111111107,5.453266504207984,6.7689557180142375
no(player)(made(every(shot))),NNA,0.0,0.0,0.0,1.0,nan,nan
no(player)(made(every(shot))),NSS,0.25,0.3551848371529982,0.31297769283267318,6.5882352941176467,6.1993515369051737,6.9771190513301198
no(player)(made(every(shot))),NSA,0.0,0.0,0.0,1.1621621621621621,0.83775682169823718,1.4865675026260869
no(player)(made(every(shot))),NAA,0.0,0.0,0.0,1.24,0.75467215774213203,1.7253278422578679
no(player)(made(every(shot))),SSS,0.25,0.27632571981495657,0.22545326847895064,6.4285714285714288,5.8663815255527414,6.9907613315901163
no(player)(made(every(shot))),SSA,0.0,0.0,0.0,1.2916666666666667,0.78203930960268242,1.8012940237306512
no(player)(made(every(shot))),SAA,0.0,0.0,0.0,1.3200000000000001,0.82853205590738088,1.8114679440926191
no(player)(made(every(shot))),AAA,0.0,0.0,0.0,1.0,nan,nan
no(player)(made(no(shot))),NNN,0.0,0.0,0.0,3.34375,2.3579831644181324,4.3295168355818676
no(player)(made(no(shot))),NNS,0.0,0.0,0.0,1.2142857142857142,1.0244039045230702,1.4041675240483582
no(player)(made(no(shot))),NNA,0.0,0.0,0.0,1.1666666666666667,0.88470723218745251,1.448626101145881
no(player)(made(no(shot))),NSS,0.0,0.0,0.0,1.125,0.98534965034464761,1.2646503496553523
no(player)(made(no(shot))),NSA,0.0,0.0,0.0,1.3928571428571428,0.93711554988562895,1.8485987358286566
no(player)(made(no(shot))),NAA,0.0,0.0,0.0,1.0,nan,nan
no(player)(made(no(shot))),SSS,0.25,0.25643442703119756,0.19815807824485179,4.1388888888888893,3.2502816542281017,5.0274961235496765
no(player)(made(no(shot))),SSA,0.25,0.23081170167592779,0.23806799405110271,4.0,3.0530027173525891,4.9469972826474109
no(player)(made(no(shot))),SAA,0.25,0.38447908891773491,0.45804770503223124,3.1923076923076925,2.0663719536377982,4.3182434309775868
no(player)(made(no(shot))),AAA,0.25,0.12827478237513973,0.10572622267181424,4.0857142857142854,3.2152501879616238,4.9561783834669475
no(player)(made(some(shot))),NNN,1.0,1.0,0.26514313918498877,6.0499999999999998,5.51508524809908,6.5849147519009197
no(player)(made(some(shot))),NNS,0.0,0.0,0.17028167151428072,1.263157894736842,0.91905490401905587,1.6072608854546282
no(player)(made(some(shot))),NNA,0.0,0.0,0.14598378436237996,2.1000000000000001,1.3635279800644915,2.8364720199355089
no(player)(made(some(shot))),NSS,0.0,0.0,0.10222403116139735,1.25,0.99870327055710295,1.5012967294428972
no(player)(made(some(shot))),NSA,0.0,0.0,0.0,1.3636363636363635,0.89013828871219536,1.8371344385605317
no(player)(made(some(shot))),NAA,0.0,0.0,0.14598378436237996,3.2083333333333335,2.1250335783793881,4.2916330882872789
no(player)(made(some(shot))),SSS,0.0,0.0,0.11357206185541645,1.1470588235294117,1.0234849713470027,1.2706326757118207
no(player)(made(some(shot))),SSA,0.0,0.0,0.0,1.3666666666666667,1.0858524521423425,1.6474808811909909
no(player)(made(some(shot))),SAA,0.0,0.0,0.0,1.069767441860465,0.9913655245823767,1.1481693591385533
no(player)(made(some(shot))),AAA,0.0,0.0,0.056811527559156749,1.8823529411764706,1.3420476792687479,2.4226582030841932
