workerid,language,tournamentCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,correctAnswer,advancesCorrectFirstTime,advances,trialnum,response,rt,trainingCorrect
A143O8BE9O5OLG,English,all advances,wheat,lavender,lightorange,Every player hit none of his shots,none-half-half,none-half-half,none,yes,none,28,1,4031,NA
A143O8BE9O5OLG,English,all advances,lightblue,lightorange,grey,No player hit none of his shots,half-all-all,half-all-all,B-C,yes,B-C,1,1,7654,NA
A143O8BE9O5OLG,English,all advances,seafoam,wheat,midnight,Player A made shots,half-half-half,half-half-half,none,yes,none,0,7,8210,NA
A143O8BE9O5OLG,English,all advances,seafoam,lightorange,lightblue,Player B will be disappointed,half-half-half,half-half-half,none,yes,none,3,7,6728,NA
A143O8BE9O5OLG,English,all advances,darkorange,midnight,pink,All the players will advance,none-none-all,none-all-none,B,yes,B,2,1,7327,NA
A143O8BE9O5OLG,English,all advances,darkorange,royalblue,yellow,Every player hit all of his shots,none-none-half,none-none-half,none,yes,none,5,1,4270,NA
A143O8BE9O5OLG,English,all advances,lavender,seafoam,lightorange,One player will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,4,1,9790,NA
A143O8BE9O5OLG,English,all advances,midnight,royalblue,seafoam,Every player hit some of his shots,none-none-half,none-none-half,none,yes,none,7,1,5935,NA
A143O8BE9O5OLG,English,all advances,purple,seafoam,pink,Player C made shots,none-none-all,all-none-none,A,yes,A,6,1,5613,NA
A143O8BE9O5OLG,English,all advances,darkorange,yellow,lavender,Three players will advance,half-half-half,half-half-half,none,yes,none,9,1,3846,NA
A143O8BE9O5OLG,English,all advances,midnight,lightorange,darkorange,Exactly one player hit all of his shots,none-half-half,half-none-half,none,yes,none,8,1,4263,NA
A143O8BE9O5OLG,English,all advances,midnight,royalblue,tan,None of the players will advance,none-half-all,all-none-half,A,yes,A,11,1,5351,NA
A143O8BE9O5OLG,English,all advances,seafoam,lavender,yellow,Exactly one player hit some of his shots,none-none-half,none-none-half,none,yes,none,10,1,4638,NA
A143O8BE9O5OLG,English,all advances,brown,wheat,lavender,Player C will be disappointed,all-all-all,all-all-all,A-B-C,yes,A-B-C,13,7,6277,NA
A143O8BE9O5OLG,English,all advances,yellow,brown,purple,Player A will be pleased,all-all-all,all-all-all,A-B-C,yes,A-B-C,12,7,7182,NA
A143O8BE9O5OLG,English,all advances,lavender,darkorange,pink,No player hit all of his shots,none-none-half,none-none-half,none,yes,none,15,7,8327,NA
A143O8BE9O5OLG,English,all advances,lightorange,lavender,pink,Player B made shots,half-all-all,all-half-all,A-C,yes,A-C,14,7,10863,NA
A143O8BE9O5OLG,English,all advances,lavender,pink,wheat,Most of the players will advance,half-all-all,half-all-all,B-C,yes,B-C,17,7,5647,NA
A143O8BE9O5OLG,English,all advances,lightorange,brown,seafoam,Exactly one player hit none of his shots,none-half-all,all-none-half,A,yes,A,16,7,5013,NA
A143O8BE9O5OLG,English,all advances,brown,yellow,tan,Player A will advance,half-half-half,half-half-half,none,yes,none,19,1,3646,NA
A143O8BE9O5OLG,English,all advances,lightblue,purple,tan,Player C will advance,none-all-all,none-all-all,B-C,yes,B-C,18,7,6270,NA
A143O8BE9O5OLG,English,all advances,grey,midnight,pink,Player A was the star player of the round,most-none-all,most-none-all,C,yes,C,-1,1,9694,yes
A143O8BE9O5OLG,English,all advances,lavender,seafoam,yellow,Player C messed up,all-all-none,all-all-none,A-B,yes,A-B,-3,7,20240,yes
A143O8BE9O5OLG,English,all advances,midnight,lightorange,lightblue,Player B will advance to the next round,all-few-none,all-few-none,A,yes,A,-2,1,9564,yes
A1RXG8RE0SJ4LC,English,any advances,pink,darkorange,midnight,No player hit all of his shots,none-none-half,none-none-half,C,yes,C,24,7,3847,NA
A1RXG8RE0SJ4LC,English,any advances,lightorange,royalblue,midnight,Player C will be disappointed,half-half-half,half-half-half,A-B-C,yes,A-B-C,25,2,5679,NA
A1RXG8RE0SJ4LC,English,any advances,lightorange,grey,yellow,None of the players will advance,none-none-all,none-none-all,C,yes,C,26,1,3446,NA
A1RXG8RE0SJ4LC,English,any advances,wheat,midnight,brown,Player C made shots,none-none-all,all-none-none,A,yes,A,27,1,4223,NA
A1RXG8RE0SJ4LC,English,any advances,darkorange,purple,seafoam,Two players will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,20,1,5031,NA
A1RXG8RE0SJ4LC,English,any advances,royalblue,yellow,lightorange,Player A will advance,none-half-half,half-none-half,A-C,yes,A-C,21,7,5256,NA
A1RXG8RE0SJ4LC,English,any advances,brown,wheat,midnight,Player A will be disappointed,none-half-all,half-all-none,A-B,yes,A-B,22,1,7030,NA
